"","OKR","date_or_period","category_or_dept","variable","value"
"1","obj1kr1",1,"Assessment","budget variance",-22
"2","obj1kr1",2,"Assessment","budget variance",-37
"3","obj1kr1",3,"Assessment","budget variance",6
"4","obj1kr1",4,"Assessment","budget variance",-8
"5","obj1kr1",5,"Assessment","budget variance",39
"6","obj1kr1",6,"Assessment","budget variance",2
"7","obj1kr1",7,"Assessment","budget variance",-37
"8","obj1kr1",8,"Assessment","budget variance",-6
"9","obj1kr1",9,"Assessment","budget variance",4
"10","obj1kr1",10,"Assessment","budget variance",8
"11","obj1kr1",11,"Assessment","budget variance",45
"12","obj1kr1",12,"Assessment","budget variance",-3
"13","obj1kr1",1,"Audit","budget variance",-15
"14","obj1kr1",2,"Audit","budget variance",0
"15","obj1kr1",3,"Audit","budget variance",2
"16","obj1kr1",4,"Audit","budget variance",0
"17","obj1kr1",5,"Audit","budget variance",1
"18","obj1kr1",6,"Audit","budget variance",2
"19","obj1kr1",7,"Audit","budget variance",2
"20","obj1kr1",8,"Audit","budget variance",1
"21","obj1kr1",9,"Audit","budget variance",14
"22","obj1kr1",10,"Audit","budget variance",25
"23","obj1kr1",11,"Audit","budget variance",26
"24","obj1kr1",12,"Audit","budget variance",14
"25","obj1kr1",2,"BAA","budget variance",-51
"26","obj1kr1",3,"BAA","budget variance",-18
"27","obj1kr1",4,"BAA","budget variance",-18
"28","obj1kr1",5,"BAA","budget variance",-18
"29","obj1kr1",6,"BAA","budget variance",-18
"30","obj1kr1",7,"BAA","budget variance",-18
"31","obj1kr1",8,"BAA","budget variance",17
"32","obj1kr1",9,"BAA","budget variance",23
"33","obj1kr1",10,"BAA","budget variance",26
"34","obj1kr1",11,"BAA","budget variance",23
"35","obj1kr1",12,"BAA","budget variance",56
"36","obj1kr1",2,"Board of Zoning Appeals","budget variance",-16
"37","obj1kr1",3,"Board of Zoning Appeals","budget variance",32
"38","obj1kr1",4,"Board of Zoning Appeals","budget variance",-16
"39","obj1kr1",5,"Board of Zoning Appeals","budget variance",20
"40","obj1kr1",6,"Board of Zoning Appeals","budget variance",-40
"41","obj1kr1",7,"Board of Zoning Appeals","budget variance",-40
"42","obj1kr1",8,"Board of Zoning Appeals","budget variance",20
"43","obj1kr1",9,"Board of Zoning Appeals","budget variance",-52
"44","obj1kr1",10,"Board of Zoning Appeals","budget variance",-28
"45","obj1kr1",11,"Board of Zoning Appeals","budget variance",20
"46","obj1kr1",12,"Board of Zoning Appeals","budget variance",8
"47","obj1kr1",1,"Citizens Review","budget variance",-14
"48","obj1kr1",2,"Citizens Review","budget variance",8
"49","obj1kr1",3,"Citizens Review","budget variance",35
"50","obj1kr1",4,"Citizens Review","budget variance",10
"51","obj1kr1",5,"Citizens Review","budget variance",12
"52","obj1kr1",6,"Citizens Review","budget variance",17
"53","obj1kr1",7,"Citizens Review","budget variance",-36
"54","obj1kr1",8,"Citizens Review","budget variance",-36
"55","obj1kr1",9,"Citizens Review","budget variance",-37
"56","obj1kr1",10,"Citizens Review","budget variance",15
"57","obj1kr1",11,"Citizens Review","budget variance",13
"58","obj1kr1",12,"Citizens Review","budget variance",2
"59","obj1kr1",1,"City Clerk","budget variance",-16
"60","obj1kr1",2,"City Clerk","budget variance",2
"61","obj1kr1",3,"City Clerk","budget variance",1
"62","obj1kr1",4,"City Clerk","budget variance",-1
"63","obj1kr1",5,"City Clerk","budget variance",2
"64","obj1kr1",6,"City Clerk","budget variance",6
"65","obj1kr1",7,"City Clerk","budget variance",2
"66","obj1kr1",8,"City Clerk","budget variance",3
"67","obj1kr1",9,"City Clerk","budget variance",19
"68","obj1kr1",10,"City Clerk","budget variance",3
"69","obj1kr1",11,"City Clerk","budget variance",9
"70","obj1kr1",12,"City Clerk","budget variance",-4
"71","obj1kr1",1,"Common Council","budget variance",-15
"72","obj1kr1",2,"Common Council","budget variance",3
"73","obj1kr1",3,"Common Council","budget variance",-1
"74","obj1kr1",4,"Common Council","budget variance",0
"75","obj1kr1",5,"Common Council","budget variance",1
"76","obj1kr1",6,"Common Council","budget variance",4
"77","obj1kr1",7,"Common Council","budget variance",-1
"78","obj1kr1",8,"Common Council","budget variance",1
"79","obj1kr1",9,"Common Council","budget variance",-5
"80","obj1kr1",10,"Common Council","budget variance",-6
"81","obj1kr1",11,"Common Council","budget variance",1
"82","obj1kr1",12,"Common Council","budget variance",-22
"83","obj1kr1",1,"Engineering","budget variance",-32
"84","obj1kr1",2,"Engineering","budget variance",-27
"85","obj1kr1",3,"Engineering","budget variance",-24
"86","obj1kr1",4,"Engineering","budget variance",-20
"87","obj1kr1",5,"Engineering","budget variance",-22
"88","obj1kr1",6,"Engineering","budget variance",-19
"89","obj1kr1",7,"Engineering","budget variance",-20
"90","obj1kr1",8,"Engineering","budget variance",-18
"91","obj1kr1",9,"Engineering","budget variance",-22
"92","obj1kr1",10,"Engineering","budget variance",-22
"93","obj1kr1",11,"Engineering","budget variance",-25
"94","obj1kr1",12,"Engineering","budget variance",-32
"95","obj1kr1",1,"Law","budget variance",-51
"96","obj1kr1",2,"Law","budget variance",-43
"97","obj1kr1",3,"Law","budget variance",1
"98","obj1kr1",4,"Law","budget variance",15
"99","obj1kr1",5,"Law","budget variance",96
"100","obj1kr1",6,"Law","budget variance",18
"101","obj1kr1",7,"Law","budget variance",-8
"102","obj1kr1",8,"Law","budget variance",10
"103","obj1kr1",9,"Law","budget variance",3
"104","obj1kr1",10,"Law","budget variance",-28
"105","obj1kr1",11,"Law","budget variance",46
"106","obj1kr1",12,"Law","budget variance",-22
"107","obj1kr1",1,"Division of Sewers","budget variance",-17
"108","obj1kr1",2,"Division of Sewers","budget variance",25
"109","obj1kr1",3,"Division of Sewers","budget variance",-3
"110","obj1kr1",4,"Division of Sewers","budget variance",68
"111","obj1kr1",5,"Division of Sewers","budget variance",-15
"112","obj1kr1",6,"Division of Sewers","budget variance",5
"113","obj1kr1",7,"Division of Sewers","budget variance",-19
"114","obj1kr1",8,"Division of Sewers","budget variance",-26
"115","obj1kr1",9,"Division of Sewers","budget variance",-26
